combo,entrada,salida,interval,pnl_pct,pf,max_dd_pct,sharpe_ann,sharpe_per,skew,kurt,n_ret,trades,wr
cruce|flip,cruce,flip,4h,130.59,1.918,27.1,0.947,0.04955001132339912,0.353,10.878,1460,426,18.1
cruce|exhaustion,cruce,exhaustion,4h,133.21,1.529,13.2,1.343,0.07030876989255756,1.803,14.862,1460,1153,34.5
cruce|scaleout,cruce,scaleout,4h,100.71,1.918,21.2,0.954,0.04995595014158883,0.305,11.609,1460,426,19.5
cruce|escalera,cruce,escalera,4h,-33.92,0.697,37.0,-1.922,-0.10060632533071444,0.253,7.897,1460,1191,54.3
cruce|trailing,cruce,trailing,4h,12.57,1.06,14.7,0.302,0.015818580376580293,1.143,9.272,1460,871,30.1
cruce|climax,cruce,climax,4h,16.15,1.077,12.3,0.412,0.021569286191646664,0.537,6.945,1460,907,36.2
patrones|escalera,patrones,escalera,4h,-53.09,0.647,54.1,-2.462,-0.12885862886937954,0.204,7.653,1460,1627,49.0
patrones|flip,patrones,flip,4h,93.78,1.644,25.6,0.763,0.03995407084303525,0.262,9.406,1460,455,15.4
cruce|rsi_div,cruce,rsi_div,4h,130.59,1.918,27.1,0.947,0.04955001132339912,0.353,10.878,1460,426,18.1
patrones|trailing,patrones,trailing,4h,3.71,1.017,22.3,0.134,0.007038050692458053,1.335,10.439,1460,955,28.8
cruce|adx_decline,cruce,adx_decline,4h,130.59,1.918,27.1,0.947,0.04955001132339912,0.353,10.878,1460,426,18.1
patrones|scaleout,patrones,scaleout,4h,72.68,1.635,19.4,0.759,0.03973024233800076,0.221,9.828,1460,455,16.9
patrones|exhaustion,patrones,exhaustion,4h,77.91,1.41,12.0,0.995,0.05208708567669971,1.269,13.162,1460,879,34.9
donchian|escalera,donchian,escalera,4h,-27.61,0.725,30.2,-1.512,-0.07916343714081978,0.639,13.149,1460,860,48.1
patrones|adx_decline,patrones,adx_decline,4h,93.78,1.644,25.6,0.763,0.03995407084303525,0.262,9.406,1460,455,15.4
donchian|flip,donchian,flip,4h,91.53,1.803,30.9,0.799,0.04180889582554319,0.323,9.612,1460,370,15.1
patrones|climax,patrones,climax,4h,14.49,1.056,20.8,0.332,0.01736152176643191,0.861,7.555,1460,1148,37.0
patrones|rsi_div,patrones,rsi_div,4h,93.78,1.644,25.6,0.763,0.03995407084303525,0.262,9.406,1460,455,15.4
donchian|trailing,donchian,trailing,4h,14.96,1.102,15.4,0.372,0.019461908079448545,1.886,15.049,1460,634,31.7
donchian|scaleout,donchian,scaleout,4h,73.97,1.837,24.3,0.821,0.04299360714653232,0.294,9.907,1460,370,15.7
donchian|exhaustion,donchian,exhaustion,4h,59.36,1.398,13.7,0.865,0.045274439011891265,1.439,16.174,1460,599,30.6
donchian|climax,donchian,climax,4h,17.56,1.121,11.4,0.545,0.02852817757269439,1.763,15.202,1460,751,47.5
rsi_reversion|escalera,rsi_reversion,escalera,4h,-52.12,0.546,52.6,-2.747,-0.1438000737163754,0.075,11.676,1460,1216,48.4
donchian|adx_decline,donchian,adx_decline,4h,91.53,1.803,30.9,0.799,0.04180889582554319,0.323,9.612,1460,370,15.1
donchian|rsi_div,donchian,rsi_div,4h,91.53,1.803,30.9,0.799,0.04180889582554319,0.323,9.612,1460,370,15.1
rsi_reversion|flip,rsi_reversion,flip,4h,-5.44,0.945,24.1,-0.044,-0.0023085622896102612,0.626,10.353,1460,1054,40.6
rsi_reversion|exhaustion,rsi_reversion,exhaustion,4h,-20.71,0.721,24.3,-1.613,-0.08440510366297838,-1.726,25.321,1460,1427,46.6
rsi_reversion|trailing,rsi_reversion,trailing,4h,-14.41,0.868,24.3,-0.542,-0.028354164157849315,1.211,16.799,1460,1271,42.8
rsi_reversion|climax,rsi_reversion,climax,4h,-13.92,0.875,26.7,-0.483,-0.025260152314825163,1.049,15.768,1460,1295,42.3
rsi_reversion|scaleout,rsi_reversion,scaleout,4h,-5.8,0.934,20.8,-0.093,-0.004872729306794707,0.554,9.809,1460,1054,41.4
sweep|escalera,sweep,escalera,4h,-15.51,0.531,16.0,-1.708,-0.0894035951871205,-0.543,16.33,1460,278,49.6
rsi_reversion|adx_decline,rsi_reversion,adx_decline,4h,-5.44,0.945,24.1,-0.044,-0.0023085622896102612,0.626,10.353,1460,1054,40.6
sweep|flip,sweep,flip,4h,-28.4,0.446,31.4,-0.834,-0.04366159938391387,-0.455,18.046,1460,204,8.8
rsi_reversion|rsi_div,rsi_reversion,rsi_div,4h,-5.44,0.945,24.1,-0.044,-0.0023085622896102612,0.626,10.353,1460,1054,40.6
sweep|trailing,sweep,trailing,4h,-18.22,0.67,18.6,-0.998,-0.052233066686839656,0.39,12.112,1460,246,25.2
sweep|exhaustion,sweep,exhaustion,4h,1.1,1.05,6.4,0.114,0.005981838363992251,2.842,45.377,1460,291,47.1
sweep|scaleout,sweep,scaleout,4h,-23.72,0.449,26.1,-0.864,-0.04523833842597421,-0.422,16.546,1460,204,10.8
sweep|climax,sweep,climax,4h,-15.51,0.72,18.7,-0.791,-0.041385357956696615,-0.184,13.394,1460,243,25.1
swing_rejection|escalera,swing_rejection,escalera,4h,-6.06,0.688,7.0,-0.8,-0.04184812509588544,0.47,33.604,1460,166,54.2
swing_rejection|flip,swing_rejection,flip,4h,-7.19,0.781,16.3,-0.211,-0.0110299200317026,0.305,31.087,1460,137,16.1
swing_rejection|trailing,swing_rejection,trailing,4h,-1.75,0.947,6.7,-0.097,-0.0050850030925939545,2.424,39.804,1460,158,29.1
sweep|adx_decline,sweep,adx_decline,4h,-28.4,0.446,31.4,-0.834,-0.04366159938391387,-0.455,18.046,1460,204,8.8
swing_rejection|exhaustion,swing_rejection,exhaustion,4h,1.48,1.13,3.1,0.171,0.008974924256955863,1.492,145.895,1460,169,47.3
sweep|rsi_div,sweep,rsi_div,4h,-28.4,0.446,31.4,-0.834,-0.04366159938391387,-0.455,18.046,1460,204,8.8
swing_rejection|scaleout,swing_rejection,scaleout,4h,-4.81,0.814,12.8,-0.178,-0.009327395413788261,0.362,29.344,1460,137,18.2
swing_rejection|climax,swing_rejection,climax,4h,-2.93,0.909,8.5,-0.182,-0.009535470477301869,1.54,30.253,1460,157,29.9
macd_stack|escalera,macd_stack,escalera,4h,-4.91,0.835,8.4,-0.484,-0.025347476538088068,0.719,29.312,1460,268,55.2
