combo,entrada,salida,interval,pnl_pct,pf,max_dd_pct,sharpe_ann,sharpe_per,skew,kurt,n_ret,trades,wr
cruce|escalera,cruce,escalera,1h,-63.43,0.632,63.5,-3.892,-0.20374165781494555,0.228,5.779,1095,2664,60.8
cruce|scaleout,cruce,scaleout,1h,92.8,1.416,22.5,1.136,0.05947569687667127,0.524,10.653,1095,770,30.3
cruce|flip,cruce,flip,1h,125.3,1.429,27.0,1.154,0.06042229639399241,0.571,10.108,1095,770,25.2
cruce|trailing,cruce,trailing,1h,9.95,1.032,18.8,0.265,0.013848260852541674,0.933,7.113,1095,1354,30.6
cruce|adx_decline,cruce,adx_decline,1h,125.3,1.429,27.0,1.154,0.06042229639399241,0.571,10.108,1095,770,25.2
cruce|exhaustion,cruce,exhaustion,1h,45.94,1.141,18.2,0.828,0.04334315424041981,1.74,10.32,1095,3359,31.8
cruce|rsi_div,cruce,rsi_div,1h,125.3,1.429,27.0,1.154,0.06042229639399241,0.571,10.108,1095,770,25.2
cruce|climax,cruce,climax,1h,-20.61,0.929,27.0,-0.534,-0.027941666202761575,-0.127,4.386,1095,1947,49.5
patrones|escalera,patrones,escalera,1h,-68.11,0.68,68.3,-3.425,-0.17929367300959204,0.309,5.301,1095,3379,59.5
patrones|flip,patrones,flip,1h,146.16,1.52,24.2,1.238,0.06481673725380094,0.651,9.575,1095,738,26.2
patrones|trailing,patrones,trailing,1h,22.86,1.071,18.5,0.454,0.023755766019866405,1.171,7.791,1095,1369,31.7
patrones|scaleout,patrones,scaleout,1h,111.49,1.525,19.4,1.253,0.06559335950505306,0.605,10.141,1095,738,31.3
patrones|exhaustion,patrones,exhaustion,1h,43.36,1.16,17.2,0.819,0.0428767542166025,1.947,11.757,1095,2267,33.4
patrones|adx_decline,patrones,adx_decline,1h,146.16,1.52,24.2,1.238,0.06481673725380094,0.651,9.575,1095,738,26.2
patrones|climax,patrones,climax,1h,0.85,1.002,18.1,0.097,0.00507442847921331,0.655,6.33,1095,2445,53.5
patrones|rsi_div,patrones,rsi_div,1h,146.16,1.52,24.2,1.238,0.06481673725380094,0.651,9.575,1095,738,26.2
donchian|flip,donchian,flip,1h,157.19,1.616,23.4,1.309,0.06849006522916291,0.712,10.002,1095,660,26.5
donchian|escalera,donchian,escalera,1h,-56.63,0.649,57.0,-3.191,-0.16703094981607752,0.563,7.003,1095,2180,58.6
donchian|trailing,donchian,trailing,1h,17.48,1.067,21.8,0.399,0.020882922762469426,1.411,8.392,1095,1141,31.7
donchian|scaleout,donchian,scaleout,1h,117.9,1.617,18.2,1.315,0.0688425289891735,0.675,10.542,1095,660,31.5
donchian|exhaustion,donchian,exhaustion,1h,39.5,1.178,14.0,0.803,0.042034055559898045,1.928,11.839,1095,1703,34.1
donchian|climax,donchian,climax,1h,-9.79,0.958,19.0,-0.258,-0.013478376019670755,0.638,6.137,1095,1898,59.5
rsi_reversion|escalera,rsi_reversion,escalera,1h,-76.89,0.535,77.0,-4.434,-0.23209013107743773,-1.302,6.656,1095,2753,59.4
donchian|rsi_div,donchian,rsi_div,1h,157.19,1.616,23.4,1.309,0.06849006522916291,0.712,10.002,1095,660,26.5
donchian|adx_decline,donchian,adx_decline,1h,157.19,1.616,23.4,1.309,0.06849006522916291,0.712,10.002,1095,660,26.5
rsi_reversion|flip,rsi_reversion,flip,1h,-23.04,0.838,35.8,-0.61,-0.031949705467254,0.129,8.331,1095,2746,39.9
rsi_reversion|exhaustion,rsi_reversion,exhaustion,1h,-33.64,0.68,34.1,-3.634,-0.1902254502966603,-1.098,12.174,1095,4127,44.1
rsi_reversion|trailing,rsi_reversion,trailing,1h,-36.34,0.775,38.2,-1.58,-0.08272599492663518,0.247,7.737,1095,3118,39.4
