combo,entrada,salida,interval,pnl_pct,pf,max_dd_pct,sharpe_ann,sharpe_per,skew,kurt,n_ret,trades,wr
cruce|scaleout,cruce,scaleout,1d,-23.23,0.623,33.9,-0.124,-0.00650732313062975,-3.076,87.017,3652,269,8.2
cruce|exhaustion,cruce,exhaustion,1d,-14.36,0.861,28.8,-0.112,-0.00588539888683294,2.843,209.527,3652,420,18.6
cruce|escalera,cruce,escalera,1d,-37.81,0.467,38.2,-1.857,-0.09720853652753157,-0.522,11.633,3652,461,33.2
cruce|flip,cruce,flip,1d,-26.32,0.634,39.8,-0.097,-0.0050639919750602004,-2.617,75.55,3652,269,7.1
cruce|trailing,cruce,trailing,1d,-11.29,0.896,16.9,-0.235,-0.012276871186077232,0.889,11.958,3652,433,25.9
cruce|climax,cruce,climax,1d,-32.36,0.634,38.9,-0.354,-0.01852067039444183,-1.02,13.142,3652,335,10.1
patrones|escalera,patrones,escalera,1d,-21.9,0.595,22.3,-1.15,-0.06020561030058046,-0.586,17.067,3652,311,35.0
patrones|trailing,patrones,trailing,1d,14.67,1.193,10.5,0.269,0.014063021511729596,29.903,1420.845,3652,270,27.8
patrones|flip,patrones,flip,1d,25.94,1.516,41.5,0.218,0.011406426892421974,-2.665,77.74,3652,160,8.1
patrones|scaleout,patrones,scaleout,1d,19.03,1.462,36.7,0.19,0.009970724855859425,-3.319,93.366,3652,160,9.4
cruce|adx_decline,cruce,adx_decline,1d,-26.32,0.634,39.8,-0.097,-0.0050639919750602004,-2.617,75.55,3652,269,7.1
cruce|rsi_div,cruce,rsi_div,1d,-26.32,0.634,39.8,-0.097,-0.0050639919750602004,-2.617,75.55,3652,269,7.1
patrones|exhaustion,patrones,exhaustion,1d,-0.98,0.985,15.6,0.029,0.001524474037442819,5.525,363.461,3652,226,20.4
patrones|adx_decline,patrones,adx_decline,1d,25.94,1.516,41.5,0.218,0.011406426892421974,-2.665,77.74,3652,160,8.1
patrones|climax,patrones,climax,1d,0.1,1.002,18.3,0.051,0.0026619881142121056,1.952,135.144,3652,209,13.9
