combo,entrada,salida,interval,pnl_pct,pf,max_dd_pct,sharpe_ann,sharpe_per,skew,kurt,n_ret,trades,wr
cruce|scaleout,cruce,scaleout,1d,814.23,3.83,46.1,0.842,0.044083388188140414,-0.175,31.53,3652,252,12.3
cruce|exhaustion,cruce,exhaustion,1d,399.66,2.012,16.7,1.126,0.05895737300516284,2.639,53.093,3652,555,27.9
cruce|flip,cruce,flip,1d,1269.46,3.642,47.8,0.902,0.047206699987147153,-0.064,26.304,3652,252,10.7
cruce|escalera,cruce,escalera,1d,-24.05,0.753,26.5,-0.785,-0.04109370138058708,-0.087,16.748,3652,642,41.1
cruce|climax,cruce,climax,1d,83.48,1.349,24.2,0.68,0.03561288826382288,0.685,18.486,3652,528,18.4
cruce|trailing,cruce,trailing,1d,56.37,1.295,16.0,0.685,0.035849969533196524,1.87,23.301,3652,590,30.8
patrones|escalera,patrones,escalera,1d,-38.68,0.679,40.1,-1.152,-0.06030325633762379,-0.309,15.506,3652,799,38.2
patrones|flip,patrones,flip,1d,1276.12,4.215,48.7,0.884,0.046263287131600446,-0.168,23.864,3652,244,10.2
patrones|trailing,patrones,trailing,1d,92.65,1.377,16.9,0.925,0.048392593755337325,1.599,17.641,3652,640,30.9
cruce|rsi_div,cruce,rsi_div,1d,1269.46,3.642,47.8,0.902,0.047206699987147153,-0.064,26.304,3652,252,10.7
cruce|adx_decline,cruce,adx_decline,1d,1269.46,3.642,47.8,0.902,0.047206699987147153,-0.064,26.304,3652,252,10.7
patrones|scaleout,patrones,scaleout,1d,788.35,4.242,46.7,0.818,0.042824627078583984,-0.293,28.612,3652,244,11.1
patrones|exhaustion,patrones,exhaustion,1d,387.69,2.215,18.0,1.066,0.05580281571459164,1.999,45.802,3652,461,26.7
donchian|escalera,donchian,escalera,1d,13.06,1.189,4.9,0.43,0.022521051206378047,0.889,29.156,3652,409,48.2
patrones|climax,patrones,climax,1d,31.27,1.146,29.6,0.338,0.017678143105586033,0.025,17.929,3652,575,19.3
donchian|flip,donchian,flip,1d,1710.18,7.674,47.4,0.962,0.05032985134733919,-0.195,22.549,3652,146,17.8
patrones|adx_decline,patrones,adx_decline,1d,1276.12,4.215,48.7,0.884,0.046263287131600446,-0.168,23.864,3652,244,10.2
patrones|rsi_div,patrones,rsi_div,1d,1276.12,4.215,48.7,0.884,0.046263287131600446,-0.168,23.864,3652,244,10.2
donchian|trailing,donchian,trailing,1d,118.33,2.037,7.3,1.28,0.06698807260291947,4.839,67.655,3652,349,38.1
donchian|scaleout,donchian,scaleout,1d,1055.92,8.015,45.5,0.901,0.047171856280552975,-0.325,26.935,3652,146,18.5
donchian|exhaustion,donchian,exhaustion,1d,529.9,3.393,13.8,1.239,0.06485099237848388,2.531,54.701,3652,280,31.4
donchian|climax,donchian,climax,1d,86.56,1.743,8.8,0.945,0.04947654812518742,2.587,46.942,3652,345,32.8
donchian|adx_decline,donchian,adx_decline,1d,1710.18,7.674,47.4,0.962,0.05032985134733919,-0.195,22.549,3652,146,17.8
rsi_reversion|escalera,rsi_reversion,escalera,1d,-37.98,0.543,39.5,-1.491,-0.07806078989731302,-0.385,29.819,3652,497,33.2
donchian|rsi_div,donchian,rsi_div,1d,1710.18,7.674,47.4,0.962,0.05032985134733919,-0.195,22.549,3652,146,17.8
rsi_reversion|trailing,rsi_reversion,trailing,1d,-27.03,0.675,29.9,-0.822,-0.0430249957480912,1.5,38.666,3652,506,31.6
rsi_reversion|flip,rsi_reversion,flip,1d,139.09,2.375,41.2,0.49,0.025641531006627825,0.601,41.164,3652,398,28.1
rsi_reversion|exhaustion,rsi_reversion,exhaustion,1d,-28.14,0.609,28.8,-1.053,-0.05509315671865187,0.147,36.754,3652,506,35.0
rsi_reversion|climax,rsi_reversion,climax,1d,-12.08,0.865,22.4,-0.232,-0.01211894956277252,2.145,34.034,3652,492,28.9
rsi_reversion|scaleout,rsi_reversion,scaleout,1d,88.76,2.039,37.2,0.419,0.02194715569582274,0.453,45.446,3652,398,29.1
sweep|escalera,sweep,escalera,1d,-10.54,0.557,11.3,-0.778,-0.04072777630900764,-0.833,56.772,3652,131,35.9
rsi_reversion|adx_decline,rsi_reversion,adx_decline,1d,139.09,2.375,41.2,0.49,0.025641531006627825,0.601,41.164,3652,398,28.1
rsi_reversion|rsi_div,rsi_reversion,rsi_div,1d,139.09,2.375,41.2,0.49,0.025641531006627825,0.601,41.164,3652,398,28.1
sweep|trailing,sweep,trailing,1d,5.97,1.184,4.9,0.202,0.010571962044303737,14.574,523.434,3652,128,26.6
sweep|flip,sweep,flip,1d,30.69,1.923,27.9,0.263,0.013763495746332286,-0.527,31.319,3652,102,7.8
sweep|exhaustion,sweep,exhaustion,1d,-6.57,0.705,7.9,-0.368,-0.019267106126453635,2.426,112.014,3652,132,37.1
sweep|scaleout,sweep,scaleout,1d,21.71,1.819,23.5,0.233,0.01220328986524964,-0.656,32.885,3652,102,10.8
sweep|climax,sweep,climax,1d,20.45,1.575,9.4,0.415,0.021740846379589843,3.165,113.674,3652,117,14.5
swing_rejection|escalera,swing_rejection,escalera,1d,-4.64,0.543,5.1,-0.526,-0.027555120773445914,-2.185,142.592,3652,55,34.5
swing_rejection|flip,swing_rejection,flip,1d,119.99,6.124,43.2,0.468,0.02449100766391313,1.182,58.835,3652,50,12.0
swing_rejection|trailing,swing_rejection,trailing,1d,-1.58,0.885,4.7,-0.097,-0.005069884094751026,0.552,56.857,3652,55,27.3
sweep|rsi_div,sweep,rsi_div,1d,30.69,1.923,27.9,0.263,0.013763495746332286,-0.527,31.319,3652,102,7.8
sweep|adx_decline,sweep,adx_decline,1d,30.69,1.923,27.9,0.263,0.013763495746332286,-0.527,31.319,3652,102,7.8
swing_rejection|exhaustion,swing_rejection,exhaustion,1d,1.57,1.16,10.0,0.062,0.0032446517839295457,-9.811,609.166,3652,55,38.2
swing_rejection|scaleout,swing_rejection,scaleout,1d,89.94,6.402,39.2,0.431,0.02257941995711409,1.01,61.008,3652,50,14.0
swing_rejection|climax,swing_rejection,climax,1d,-1.36,0.916,9.3,-0.055,-0.0029013274493315463,1.572,53.851,3652,55,12.7
macd_stack|escalera,macd_stack,escalera,1d,-1.72,0.886,3.8,-0.153,-0.008000952199643275,0.95,49.797,3652,97,45.4
swing_rejection|adx_decline,swing_rejection,adx_decline,1d,119.99,6.124,43.2,0.468,0.02449100766391313,1.182,58.835,3652,50,12.0
macd_stack|trailing,macd_stack,trailing,1d,14.22,1.671,2.4,0.593,0.031053132841745334,4.894,112.46,3652,92,35.9
swing_rejection|rsi_div,swing_rejection,rsi_div,1d,119.99,6.124,43.2,0.468,0.02449100766391313,1.182,58.835,3652,50,12.0
macd_stack|flip,macd_stack,flip,1d,175.81,5.532,39.3,0.593,0.03103651826119876,-0.542,35.512,3652,75,9.3
macd_stack|exhaustion,macd_stack,exhaustion,1d,9.65,1.67,4.7,0.435,0.022784896888198403,3.299,97.975,3652,96,46.9
macd_stack|scaleout,macd_stack,scaleout,1d,127.19,5.928,35.7,0.553,0.028923618293282907,-0.703,39.331,3652,75,10.7
macd_stack|climax,macd_stack,climax,1d,49.89,2.742,4.8,1.091,0.057105674323459824,3.628,56.062,3652,91,24.2
macd_stack|adx_decline,macd_stack,adx_decline,1d,175.81,5.532,39.3,0.593,0.03103651826119876,-0.542,35.512,3652,75,9.3
macd_stack|rsi_div,macd_stack,rsi_div,1d,175.81,5.532,39.3,0.593,0.03103651826119876,-0.542,35.512,3652,75,9.3
continua|escalera,continua,escalera,1d,-48.4,0.803,54.3,-0.902,-0.047234689401710016,-0.007,8.532,3652,1957,42.3
continua|flip,continua,flip,1d,1736.75,4.202,48.6,0.943,0.04937694139622221,-0.075,21.918,3652,282,11.3
continua|scaleout,continua,scaleout,1d,1070.67,4.36,46.8,0.883,0.04622031807132094,-0.177,26.411,3652,282,12.8
continua|trailing,continua,trailing,1d,189.1,1.337,18.7,0.98,0.051311598629179354,1.572,15.689,3652,1180,30.6
