combo,entrada,salida,interval,pnl_pct,pf,max_dd_pct,sharpe_ann,sharpe_per,skew,kurt,n_ret,trades,wr
cruce|exhaustion,cruce,exhaustion,1d,-18.33,0.703,19.5,-0.42,-0.021975493884823904,-0.419,18.097,3650,361,27.7
cruce|escalera,cruce,escalera,1d,-25.04,0.544,25.8,-1.171,-0.061275032272468284,-1.021,16.484,3650,416,38.9
cruce|trailing,cruce,trailing,1d,-24.49,0.69,25.9,-0.579,-0.03030923268985278,-0.764,16.495,3650,326,29.8
cruce|flip,cruce,flip,1d,-25.66,0.67,36.0,-0.292,-0.015307210989059489,-0.245,42.284,3650,164,15.9
cruce|scaleout,cruce,scaleout,1d,-20.83,0.669,29.2,-0.311,-0.016277538036585704,-0.232,39.872,3650,164,18.9
cruce|climax,cruce,climax,1d,-25.66,0.67,36.0,-0.292,-0.015307210989059489,-0.245,42.284,3650,164,15.9
patrones|escalera,patrones,escalera,1d,0.0,999,0.0,0.0,0.0,0.0,3.0,3650,0,0
patrones|flip,patrones,flip,1d,0.0,999,0.0,0.0,0.0,0.0,3.0,3650,0,0
patrones|trailing,patrones,trailing,1d,0.0,999,0.0,0.0,0.0,0.0,3.0,3650,0,0
patrones|scaleout,patrones,scaleout,1d,0.0,999,0.0,0.0,0.0,0.0,3.0,3650,0,0
cruce|adx_decline,cruce,adx_decline,1d,-25.66,0.67,36.0,-0.292,-0.015307210989059489,-0.245,42.284,3650,164,15.9
cruce|rsi_div,cruce,rsi_div,1d,-25.66,0.67,36.0,-0.292,-0.015307210989059489,-0.245,42.284,3650,164,15.9
patrones|adx_decline,patrones,adx_decline,1d,0.0,999,0.0,0.0,0.0,0.0,3.0,3650,0,0
patrones|exhaustion,patrones,exhaustion,1d,0.0,999,0.0,0.0,0.0,0.0,3.0,3650,0,0
patrones|climax,patrones,climax,1d,0.0,999,0.0,0.0,0.0,0.0,3.0,3650,0,0
patrones|rsi_div,patrones,rsi_div,1d,0.0,999,0.0,0.0,0.0,0.0,3.0,3650,0,0
donchian|escalera,donchian,escalera,1d,-15.29,0.494,15.6,-0.984,-0.05151839576517054,-1.647,30.219,3650,189,35.4
donchian|flip,donchian,flip,1d,-26.67,0.487,30.9,-0.481,-0.02515406771355169,0.482,59.522,3650,123,13.0
