,equity
2022-06-12,500.0
2022-06-13,500.0
2022-06-14,500.0
2022-06-15,500.0
2022-06-16,500.0
2022-06-17,500.0
2022-06-18,500.0
2022-06-19,500.0
2022-06-20,500.0
2022-06-21,500.0
2022-06-22,500.0
2022-06-23,500.0
2022-06-24,500.0
2022-06-25,500.0
2022-06-26,500.0
2022-06-27,500.0
2022-06-28,500.0
2022-06-29,500.0
2022-06-30,500.0
2022-07-01,500.0
2022-07-02,500.0
2022-07-03,500.0
2022-07-04,500.0
2022-07-05,500.0
2022-07-06,500.0
2022-07-07,500.0
2022-07-08,500.0
2022-07-09,500.0
2022-07-10,500.0
2022-07-11,500.0
2022-07-12,500.0
2022-07-13,500.0
2022-07-14,500.0
2022-07-15,500.0
2022-07-16,500.0
2022-07-17,499.4783160222307
2022-07-18,502.1042903118376
2022-07-19,502.99188517283915
2022-07-20,499.4802305486927
2022-07-21,501.04215323512545
2022-07-22,497.74141194925176
2022-07-23,497.8852192434352
2022-07-24,499.78572375961187
2022-07-25,489.934703284979
2022-07-26,489.28188088134124
2022-07-27,492.82032128120284
2022-07-28,499.2372396074347
2022-07-29,501.7914591977983
2022-07-30,502.1007614196988
2022-07-31,499.0889183404751
2022-08-01,496.70072536246283
2022-08-02,492.19068867221023
2022-08-03,492.9758418783392
2022-08-04,495.0739605708961
2022-08-05,503.1950529381074
2022-08-06,501.14606774211103
2022-08-07,505.8243813681213
2022-08-08,511.17406341582256
2022-08-09,504.8200680048871
2022-08-10,513.9068398841384
2022-08-11,512.04517898089
2022-08-12,517.5488145240901
2022-08-13,517.8265087765184
2022-08-14,515.8491915981368
2022-08-15,511.5321424970179
2022-08-16,512.8028966160945
2022-08-17,505.99643710807135
2022-08-18,499.5908835323043
2022-08-19,481.88427543213635
2022-08-20,480.71234397631673
2022-08-21,480.81288874443294
2022-08-22,480.0177613014615
2022-08-23,480.2414680500033
2022-08-24,481.3772004206631
2022-08-25,481.5405073641767
2022-08-26,478.4457645384436
2022-08-27,478.13900364667217
2022-08-28,479.4541997423911
2022-08-29,476.8727945460435
2022-08-30,478.8027436346225
2022-08-31,477.81736928764684
2022-09-01,477.95181001236347
2022-09-02,478.31088495964053
2022-09-03,478.0447438332178
2022-09-04,477.43123822866534
2022-09-05,477.00613369058993
2022-09-06,478.36378271778125
2022-09-07,474.5166887617456
2022-09-08,474.7953976975515
2022-09-09,472.9269731193797
2022-09-10,472.86364024204585
2022-09-11,472.47591017970433
2022-09-12,470.33743908689337
2022-09-13,468.6616663144689
2022-09-14,467.38334422385464
2022-09-15,472.1837229611497
2022-09-16,472.7381905782166
2022-09-17,470.4270280612115
2022-09-18,473.85761571730916
2022-09-19,473.53824336838755
2022-09-20,475.82786237548845
2022-09-21,477.40571086354976
2022-09-22,476.6071548359464
2022-09-23,474.020908384298
2022-09-24,472.8934764501495
2022-09-25,473.76387531535903
2022-09-26,470.1049182127921
2022-09-27,470.27626933324535
2022-09-28,468.4540727416798
2022-09-29,468.904872540306
2022-09-30,469.3154855216973
2022-10-01,469.9838583386074
2022-10-02,470.30652449349594
2022-10-03,468.17584647645225
2022-10-04,466.19143864781086
2022-10-05,467.4083353054944
2022-10-06,467.2755274232936
2022-10-07,468.8523319841603
2022-10-08,468.8032894837693
2022-10-09,469.29470957947507
2022-10-10,469.9739496872111
2022-10-11,470.91111730334745
2022-10-12,471.34975682641704
2022-10-13,472.6340046145787
2022-10-14,473.8411298363213
2022-10-15,474.72270592706406
2022-10-16,471.80429840909125
2022-10-17,468.9707885976249
2022-10-18,470.50347981033764
2022-10-19,473.88656875436806
2022-10-20,475.71666173539836
2022-10-21,474.56458762914883
2022-10-22,474.1447427489685
2022-10-23,469.7590054695101
2022-10-24,472.05621682681465
2022-10-25,464.3975318412661
2022-10-26,462.55968266808964
2022-10-27,462.4285234312165
2022-10-28,460.9492016764107
2022-10-29,460.3226840937758
2022-10-30,461.34768808995574
2022-10-31,463.61320450818016
2022-11-01,462.8338477378354
2022-11-02,463.35468645223756
2022-11-03,465.1101570963401
2022-11-04,480.95421602645183
2022-11-05,482.63050471053765
2022-11-06,472.6418383073635
2022-11-07,472.11519699450923
2022-11-08,449.69375077239926
2022-11-09,451.51348397688474
2022-11-10,444.0820383675167
2022-11-11,445.6898006611779
2022-11-12,449.0874856770144
2022-11-13,451.67381868630713
2022-11-14,448.4609103582088
2022-11-15,447.1865401610894
2022-11-16,448.7329071955062
2022-11-17,450.44152421520715
2022-11-18,450.3964562010443
2022-11-19,450.9628815382626
2022-11-20,454.5407437957871
2022-11-21,456.1157662547132
2022-11-22,453.5904639811126
2022-11-23,451.15427253912793
2022-11-24,449.99338070953365
2022-11-25,448.49879812528303
2022-11-26,448.2301278898899
2022-11-27,447.89703986543776
2022-11-28,448.4568146368499
2022-11-29,446.6134683427464
2022-11-30,445.68235614474185
2022-12-01,445.8085379879427
2022-12-02,445.0074041876473
2022-12-03,444.7302883294292
2022-12-04,444.0241572710346
2022-12-05,444.23991430908717
2022-12-06,443.65266887792956
2022-12-07,444.5860559126514
2022-12-08,443.4943417780332
2022-12-09,443.9865016798664
2022-12-10,443.7464334703034
2022-12-11,446.2228996344034
2022-12-12,446.4147423390015
2022-12-13,444.17472288625976
2022-12-14,445.06060600670884
2022-12-15,445.81805746219044
2022-12-16,457.22395859071156
2022-12-17,453.9394551720347
2022-12-18,453.657491556574
2022-12-19,458.86457618572365
2022-12-20,453.5785524105133
2022-12-21,455.3308843581751
2022-12-22,454.29441810886516
2022-12-23,454.41162265461656
2022-12-24,454.86836751751787
2022-12-25,455.17109396565417
2022-12-26,453.3049384468346
2022-12-27,454.8178244274845
2022-12-28,459.4584201012416
2022-12-29,459.8494666468722
2022-12-30,459.93951251393656
2022-12-31,459.2016473603124
2023-01-01,458.7053937547285
2023-01-02,455.91083016041114
2023-01-03,454.59381719921447
2023-01-04,450.5109486263929
2023-01-05,451.9627757520149
2023-01-06,450.4877326506463
2023-01-07,450.44709558299814
2023-01-08,447.0648057234172
2023-01-09,445.61236020689955
2023-01-10,445.4419467306989
2023-01-11,445.6731108187349
