,equity
2022-06-12,1000.0
2022-06-13,1000.0
2022-06-14,1000.0
2022-06-15,1000.0
2022-06-16,1000.0
2022-06-17,1000.0
2022-06-18,1000.0
2022-06-19,1000.0
2022-06-20,1000.0
2022-06-21,1000.0
2022-06-22,1000.0
2022-06-23,1000.0
2022-06-24,1000.0
2022-06-25,1000.0
2022-06-26,1000.0
2022-06-27,1000.0
2022-06-28,1000.0
2022-06-29,1000.0
2022-06-30,1000.0
2022-07-01,1000.0
2022-07-02,1000.0
2022-07-03,997.4154978085489
2022-07-04,995.4757887747612
2022-07-05,990.9748569239605
2022-07-06,993.8545321253357
2022-07-07,997.3859364999134
2022-07-08,996.2697907851383
2022-07-09,997.0848375557804
2022-07-10,992.3627370159127
2022-07-11,996.3404646626045
2022-07-12,999.4113161223843
2022-07-13,993.0907497428674
2022-07-14,992.0228039998466
2022-07-15,992.7178383740743
2022-07-16,1000.8057949857688
2022-07-17,997.17484121695
2022-07-18,1018.6724686296774
2022-07-19,1022.1093269700887
2022-07-20,1012.0862735733774
2022-07-21,1019.1450458098665
2022-07-22,1010.3541937236657
2022-07-23,1009.4916342944975
2022-07-24,1013.7099378301319
2022-07-25,993.8728082559907
2022-07-26,989.9547782573477
2022-07-27,999.2556356802017
2022-07-28,1013.0194370286749
2022-07-29,1018.9347150610492
2022-07-30,1023.0109946522598
2022-07-31,1015.5336900513356
2022-08-01,1012.0373119864275
2022-08-02,1005.9105779837621
2022-08-03,1010.088743621279
2022-08-04,1014.8807121625271
2022-08-05,1025.8922937264513
2022-08-06,1021.388588569099
2022-08-07,1027.240379391939
2022-08-08,1035.975285926073
2022-08-09,1025.994548222654
2022-08-10,1036.2777656294895
2022-08-11,1034.7471646848508
2022-08-12,1044.823415020467
2022-08-13,1046.0899031333183
2022-08-14,1038.4278598728679
2022-08-15,1032.970253468548
2022-08-16,1029.7124281874453
2022-08-17,1018.4249780707723
2022-08-18,1015.6915540744487
2022-08-19,1006.0107012779868
2022-08-20,1005.3350683568235
2022-08-21,1001.7559956195898
2022-08-22,1000.3040522806951
2022-08-23,998.6748250622704
2022-08-24,998.6813298148588
2022-08-25,998.8747718564558
2022-08-26,996.7134397217505
2022-08-27,997.2983686244046
2022-08-28,1000.8243590335212
2022-08-29,994.2304418282401
2022-08-30,996.8605263766844
2022-08-31,994.9369025579588
2022-09-01,993.2166531020534
2022-09-02,993.3372499043726
2022-09-03,993.3869731716495
2022-09-04,990.231008531093
2022-09-05,990.0995219963164
2022-09-06,991.2786932556083
2022-09-07,977.2673041868843
2022-09-08,976.5277899422879
2022-09-09,980.8350908888045
2022-09-10,984.1405716429914
2022-09-11,983.5565940239468
2022-09-12,982.5981578831158
2022-09-13,970.3556125566136
2022-09-14,964.9214327110815
2022-09-15,976.6615609378716
2022-09-16,974.300085683388
2022-09-17,972.7654628988856
2022-09-18,980.0292274843106
2022-09-19,971.582551884802
2022-09-20,983.4028586750101
2022-09-21,985.6635918408731
2022-09-22,991.9201310559392
2022-09-23,988.1938635830098
2022-09-24,984.2274028999041
2022-09-25,984.4238563660588
2022-09-26,974.5736678134723
2022-09-27,968.2457101453475
2022-09-28,964.7775751350354
2022-09-29,970.6037449418814
2022-09-30,968.9705999405869
2022-10-01,969.8183214582164
2022-10-02,967.828000606509
2022-10-03,966.4987558190962
2022-10-04,970.3228573143691
2022-10-05,972.709006227585
2022-10-06,968.3604398692567
2022-10-07,972.5848066385583
2022-10-08,974.6403825480352
2022-10-09,976.8240752526128
2022-10-10,974.0642448473186
2022-10-11,975.2829012746558
2022-10-12,975.0936699344134
2022-10-13,973.6380906333252
2022-10-14,974.288687247086
2022-10-15,975.5486649560064
2022-10-16,968.9151497701972
2022-10-17,963.482905571039
2022-10-18,966.7283124174871
2022-10-19,973.2453426802506
2022-10-20,977.4063593786482
2022-10-21,975.0053744256381
2022-10-22,973.601317520191
2022-10-23,967.6656593161476
2022-10-24,968.7065525296214
2022-10-25,963.5062206014737
2022-10-26,968.1274664761115
