,equity
2022-06-12,500.0
2022-06-13,500.0
2022-06-14,500.0
2022-06-15,500.0
2022-06-16,500.0
2022-06-17,500.0
2022-06-18,500.0
2022-06-19,500.0
2022-06-20,500.0
2022-06-21,500.0
2022-06-22,500.0
2022-06-23,500.0
2022-06-24,500.0
2022-06-25,500.0
2022-06-26,500.0
2022-06-27,500.0
2022-06-28,500.0
2022-06-29,500.0
2022-06-30,500.0
2022-07-01,500.0
2022-07-02,500.0
2022-07-03,500.0
2022-07-04,500.0
2022-07-05,500.0
2022-07-06,500.0
2022-07-07,500.0
2022-07-08,500.0
2022-07-09,500.0
2022-07-10,500.0
2022-07-11,500.0
2022-07-12,500.0
2022-07-13,500.0
2022-07-14,500.0
2022-07-15,500.0
2022-07-16,500.0
2022-07-17,498.59595537517157
2022-07-18,505.2350459509667
2022-07-19,506.98081809887935
2022-07-20,503.0001296444084
2022-07-21,505.9776208480643
2022-07-22,502.64502789386927
2022-07-23,503.228086274539
2022-07-24,505.2992249415162
2022-07-25,493.773880395595
2022-07-26,493.89561799403367
2022-07-27,500.95638186255525
2022-07-28,507.51350248171536
2022-07-29,511.18261212394947
2022-07-30,512.6804929974077
2022-07-31,509.3724557079307
2022-08-01,507.8041685052375
2022-08-02,504.3716852039497
2022-08-03,505.5413995369346
2022-08-04,507.57023678773925
2022-08-05,513.7495979776209
2022-08-06,511.7507941193725
2022-08-07,515.5608843973454
2022-08-08,519.519612637003
2022-08-09,515.8062253919585
2022-08-10,522.9680146449658
2022-08-11,522.1951219685824
2022-08-12,526.8468929730262
2022-08-13,527.5309719367791
2022-08-14,524.262147160662
2022-08-15,522.0210361187129
2022-08-16,520.778655379239
2022-08-17,515.9091954469203
2022-08-18,511.32065038557926
2022-08-19,497.06425630697237
2022-08-20,496.310503001768
2022-08-21,497.0168628783276
2022-08-22,496.69478588367224
2022-08-23,496.57811107701565
2022-08-24,496.28434931955144
2022-08-25,497.04229032147674
2022-08-26,490.8314048784273
2022-08-27,490.31455484119124
2022-08-28,490.20923468272935
2022-08-29,490.20923468272935
2022-08-30,490.21504649872
2022-08-31,488.55740966796947
2022-09-01,488.09565507937964
2022-09-02,488.2444082354354
2022-09-03,487.8883141974058
2022-09-04,486.3245650561735
2022-09-05,486.677853801806
2022-09-06,486.0964599098608
2022-09-07,480.3830396875913
2022-09-08,480.3408460520686
2022-09-09,479.58418335639635
2022-09-10,480.77366817342136
2022-09-11,481.0943712970033
2022-09-12,478.7014117314052
2022-09-13,472.9799546702046
2022-09-14,471.31563970517783
2022-09-15,475.5126086915301
2022-09-16,474.31578056110106
2022-09-17,472.99339652544137
2022-09-18,475.6480905693767
2022-09-19,474.9115472878263
2022-09-20,479.2050232505929
2022-09-21,480.7781445237741
2022-09-22,482.6982165037237
2022-09-23,480.97252241130354
2022-09-24,480.1931840736302
2022-09-25,479.83802570888116
2022-09-26,476.38440105258667
2022-09-27,476.0428563716528
2022-09-28,474.6938080748523
2022-09-29,476.27572483149345
2022-09-30,476.05219927991726
2022-10-01,476.80431889777657
2022-10-02,476.3999055040178
2022-10-03,475.57151117398047
2022-10-04,475.7767513133715
2022-10-05,477.2631223110388
2022-10-06,476.18509639742666
2022-10-07,478.7664503240799
2022-10-08,478.9047281326055
2022-10-09,480.1715149404439
2022-10-10,479.04356908836996
2022-10-11,479.2501862581576
2022-10-12,479.4931013778826
2022-10-13,480.41247636939937
2022-10-14,482.3260552745481
2022-10-15,482.56680778765
2022-10-16,480.02682907369575
2022-10-17,477.96404645648477
2022-10-18,479.66080020638805
2022-10-19,481.87171679827827
2022-10-20,483.72002918209785
2022-10-21,483.5051189776895
2022-10-22,483.2574318483008
2022-10-23,479.8634492007609
2022-10-24,480.66730994430816
2022-10-25,474.16833329344246
2022-10-26,472.9008723739505
2022-10-27,473.7022761538929
2022-10-28,474.70500083286765
2022-10-29,473.07740478879
2022-10-30,474.69364804887715
2022-10-31,478.0390264821871
2022-11-01,477.2450980767349
2022-11-02,475.6233551955722
2022-11-03,477.09933169154135
2022-11-04,488.21458035855073
2022-11-05,488.3596200351895
2022-11-06,479.89191202983477
2022-11-07,479.6658213461381
2022-11-08,462.0476718669705
2022-11-09,469.98687563965154
2022-11-10,457.8021069914791
2022-11-11,459.9780125364513
2022-11-12,465.0391560346298
2022-11-13,468.43953304752335
2022-11-14,463.6855760473039
2022-11-15,462.23887844966987
2022-11-16,463.9262476813142
2022-11-17,464.53384508413825
2022-11-18,464.29539294577785
2022-11-19,464.6901561121395
2022-11-20,469.02803775778415
2022-11-21,470.26692384717654
2022-11-22,466.35735920508995
2022-11-23,462.1056078922437
2022-11-24,460.6734356626138
2022-11-25,460.43366821299577
2022-11-26,459.4597771189383
2022-11-27,459.0104797503023
2022-11-28,459.37625989701195
2022-11-29,456.91779406510875
2022-11-30,456.16047119027434
2022-12-01,456.12493295252204
2022-12-02,455.5652683825902
2022-12-03,454.25541110615075
2022-12-04,453.5784201088231
2022-12-05,452.26682157623287
2022-12-06,451.1504420095182
2022-12-07,451.97526463038764
2022-12-08,450.6926593424442
2022-12-09,451.86223364759974
2022-12-10,451.72965390682594
2022-12-11,454.0380111620917
2022-12-12,455.18325370955637
2022-12-13,453.4418274097849
2022-12-14,454.8193798845565
2022-12-15,456.8001603516602
2022-12-16,468.27506647299055
2022-12-17,465.48244652061146
2022-12-18,465.2829436041413
2022-12-19,469.13808212778093
2022-12-20,464.8344244740331
2022-12-21,466.17248223060585
2022-12-22,465.8412470946496
2022-12-23,465.5505769226654
2022-12-24,466.26257961919043
2022-12-25,466.6125226674168
2022-12-26,464.4907451894725
2022-12-27,465.47149037952346
2022-12-28,469.47127437256745
2022-12-29,470.49766624431237
2022-12-30,470.48133000849805
2022-12-31,470.48429324528354
2023-01-01,470.1813209621871
2023-01-02,467.7616831949707
2023-01-03,466.56512665714916
2023-01-04,462.6921936111172
2023-01-05,463.9090060900259
2023-01-06,462.39682086069377
2023-01-07,462.119678910493
2023-01-08,459.2300120127845
2023-01-09,458.1615983116281
2023-01-10,458.2883046146243
2023-01-11,458.70904333538687
2023-01-12,459.31404684993265
