,equity
2022-06-12,500.0
2022-06-13,500.0
2022-06-14,500.0
2022-06-15,500.0
2022-06-16,500.0
2022-06-17,500.0
2022-06-18,500.0
2022-06-19,500.0
2022-06-20,500.0
2022-06-21,500.0
2022-06-22,500.0
2022-06-23,500.0
2022-06-24,500.0
2022-06-25,500.0
2022-06-26,500.0
2022-06-27,500.0
2022-06-28,500.0
2022-06-29,500.0
2022-06-30,500.0
2022-07-01,500.0
2022-07-02,500.0
2022-07-03,500.0
2022-07-04,500.0
2022-07-05,500.0
2022-07-06,500.0
2022-07-07,500.0
2022-07-08,500.0
2022-07-09,500.0
2022-07-10,500.0
2022-07-11,500.0
2022-07-12,500.0
2022-07-13,500.0
2022-07-14,500.0
2022-07-15,500.0
2022-07-16,500.0
2022-07-17,498.59595537517157
2022-07-18,505.89116664631996
2022-07-19,507.6692858186857
2022-07-20,502.93508213073693
2022-07-21,506.3552016612539
2022-07-22,501.9175101161605
2022-07-23,502.57374065269727
2022-07-24,505.311712081813
2022-07-25,491.2464859730465
2022-07-26,491.40880277096477
2022-07-27,499.5266824582093
2022-07-28,507.1451075996192
2022-07-29,511.6831220830975
2022-07-30,513.6625172271671
2022-07-31,509.2783619910997
2022-08-01,507.1946982522265
2022-08-02,502.64910085741
2022-08-03,504.19821144789927
2022-08-04,506.8854620850636
2022-08-05,515.0875803082182
2022-08-06,512.4338485546865
2022-08-07,517.4819510806217
2022-08-08,522.735541998658
2022-08-09,517.8074481423158
2022-08-10,527.3136347051686
2022-08-11,526.2930181216667
2022-08-12,532.4649548308313
2022-08-13,533.3739409776597
2022-08-14,529.0373991807686
2022-08-15,526.0646363141877
2022-08-16,524.4157100414183
2022-08-17,517.9598805616903
2022-08-18,511.8837223227697
2022-08-19,492.96803865247847
2022-08-20,492.22205986572266
2022-08-21,494.0658675722312
2022-08-22,493.58421321154367
2022-08-23,493.6568113562528
2022-08-24,493.19755097713977
2022-08-25,494.3503162395047
2022-08-26,486.34559959828374
2022-08-27,485.65801146182656
2022-08-28,485.5184192883608
2022-08-29,485.5184192883608
2022-08-30,485.524175491046
2022-08-31,483.8824005980433
2022-09-01,483.42506454215203
2022-09-02,483.57239427827807
2022-09-03,483.219707706443
2022-09-04,481.6709220910394
2022-09-05,482.0208302143388
2022-09-06,481.44499968437367
2022-09-07,474.9877618287127
2022-09-08,474.94597194436614
2022-09-09,474.19654975901085
2022-09-10,475.37267194109876
2022-09-11,475.56197892647305
2022-09-12,472.9179171133541
2022-09-13,466.87292592002007
2022-09-14,465.2301002786748
2022-09-15,469.30593993047546
2022-09-16,467.1641320327631
2022-09-17,465.524385839796
2022-09-18,468.118067829989
2022-09-19,466.62549496917325
2022-09-20,472.25345916552556
2022-09-21,473.8188511755977
2022-09-22,476.2950318653989
2022-09-23,474.55439670094637
2022-09-24,473.54186712147805
2022-09-25,473.60880811173627
2022-09-26,469.081615893523
2022-09-27,468.64817725794796
2022-09-28,466.87049079052133
2022-09-29,469.10867783136314
2022-09-30,468.73173918733227
2022-10-01,469.59626692173913
2022-10-02,468.79937459495966
2022-10-03,467.91973029148204
2022-10-04,468.1182494270566
2022-10-05,469.8283693215219
2022-10-06,468.7852174632041
2022-10-07,472.04003251162294
2022-10-08,472.17222305939146
2022-10-09,473.8503240096808
2022-10-10,472.0610404850561
2022-10-11,472.3395401547553
2022-10-12,472.6710621852474
2022-10-13,473.3538549132519
2022-10-14,475.84980732110466
2022-10-15,476.1683185554904
2022-10-16,472.8524843708111
2022-10-17,470.3847572793521
2022-10-18,472.41997432641074
2022-10-19,475.22007671391697
2022-10-20,477.42163963437963
2022-10-21,476.87631032231235
2022-10-22,476.55434623032505
2022-10-23,472.1229095930899
2022-10-24,473.17341180489746
2022-10-25,464.6756058016949
2022-10-26,463.0117967656362
2022-10-27,464.33641156937205
2022-10-28,464.87201762224424
2022-10-29,462.73860890837943
2022-10-30,464.8271032615874
2022-10-31,468.67796923383474
2022-11-01,467.6529653143493
2022-11-02,465.5511907110123
2022-11-03,467.6049100943587
2022-11-04,480.9018919183537
2022-11-05,481.0687719257424
2022-11-06,470.1051712312858
2022-11-07,469.435926853983
2022-11-08,446.933895170448
2022-11-09,455.5783175222506
2022-11-10,440.44699245335113
2022-11-11,443.23775749078516
2022-11-12,449.2456346046041
2022-11-13,453.604514698452
2022-11-14,448.0066135678836
2022-11-15,446.152814582562
2022-11-16,448.3138792915218
2022-11-17,449.0338781588889
2022-11-18,448.91111803405937
2022-11-19,449.3701850640342
2022-11-20,454.68066759042165
2022-11-21,455.94918546876556
2022-11-22,450.9455627555974
2022-11-23,445.5015348914225
2022-11-24,443.66631783789575
2022-11-25,443.4622644196793
2022-11-26,442.26654144494
2022-11-27,441.86710332526036
2022-11-28,442.5356038286858
2022-11-29,440.13171595029763
2022-11-30,439.0139222928678
2022-12-01,439.23534581638376
2022-12-02,438.5580018232729
2022-12-03,437.40779736791103
2022-12-04,436.6057680393309
2022-12-05,435.3761725693153
2022-12-06,434.21095922007356
2022-12-07,435.35226284040664
2022-12-08,433.99997363851514
2022-12-09,435.19068372727196
2022-12-10,435.05608194859843
2022-12-11,437.39708016208635
2022-12-12,438.18511027001705
2022-12-13,435.95934296127905
2022-12-14,437.92475374674706
2022-12-15,440.72769720670624
2022-12-16,454.9108180223518
2022-12-17,451.35241021455687
2022-12-18,451.0995401819354
2022-12-19,456.01733948614105
2022-12-20,450.5354856464256
2022-12-21,452.24263552475634
2022-12-22,451.8219659290704
2022-12-23,451.4509326160638
2022-12-24,452.360592004365
2022-12-25,452.80644684989784
2022-12-26,450.1025742151831
2022-12-27,451.35454568336934
2022-12-28,456.4626806619125
2022-12-29,457.7736876939617
2022-12-30,457.74975006084804
2022-12-31,457.75259664594836
2023-01-01,457.36494194922864
2023-01-02,454.2729777121629
2023-01-03,452.7337139675258
2023-01-04,447.7962279856129
2023-01-05,449.3448212393805
2023-01-06,447.4141189818887
2023-01-07,447.10689545465357
2023-01-08,442.9219037348989
2023-01-09,441.5379062121017
2023-01-10,441.69611804064374
2023-01-11,442.2205906482109
2023-01-12,442.9854360340569
