,equity
2022-06-12,500.0
2022-06-13,500.0
2022-06-14,500.0
2022-06-15,500.0
2022-06-16,500.0
2022-06-17,500.0
2022-06-18,500.0
2022-06-19,500.0
2022-06-20,500.0
2022-06-21,500.0
2022-06-22,500.0
2022-06-23,500.0
2022-06-24,500.0
2022-06-25,500.0
2022-06-26,500.0
2022-06-27,500.0
2022-06-28,500.0
2022-06-29,500.0
2022-06-30,500.0
2022-07-01,500.0
2022-07-02,500.0
2022-07-03,500.0
2022-07-04,500.0
2022-07-05,500.0
2022-07-06,500.0
2022-07-07,500.0
2022-07-08,500.0
2022-07-09,500.0
2022-07-10,500.0
2022-07-11,500.0
2022-07-12,500.0
2022-07-13,500.0
2022-07-14,500.0
2022-07-15,500.0
2022-07-16,500.0
2022-07-17,500.36069753623156
2022-07-18,498.3173298074261
2022-07-19,498.3173298074261
2022-07-20,496.02665346137894
2022-07-21,495.735320857817
2022-07-22,493.56945021102
2022-07-23,493.2020356930957
2022-07-24,494.26629442400633
2022-07-25,488.62144689169287
2022-07-26,487.1567515238249
2022-07-27,486.125383155651
2022-07-28,491.3402973099828
2022-07-29,491.9159320194872
2022-07-30,490.5704242772394
2022-07-31,488.92473164704705
2022-08-01,486.241332609927
2022-08-02,481.770656113702
2022-08-03,481.7935228324105
2022-08-04,483.30250680458994
2022-08-05,491.3246770398123
2022-08-06,489.8861748853575
2022-08-07,494.18392550050083
2022-08-08,499.6132598579684
2022-08-09,491.86443464482306
2022-08-10,500.5110340698353
2022-08-11,497.8200116821138
2022-08-12,502.64240729338485
2022-08-13,502.29317047666757
2022-08-14,502.6420347495922
2022-08-15,497.01194831079863
2022-08-16,501.15165729695724
2022-08-17,494.02260454062065
2022-08-18,487.3159614265506
2022-08-19,470.8690032166854
2022-08-20,469.27354824759846
2022-08-21,467.62487490594253
2022-08-22,466.5340624580717
2022-08-23,466.89000640934563
2022-08-24,469.579256008926
2022-08-25,468.76050053108236
2022-08-26,470.5382663139855
2022-08-27,470.6130309681331
2022-08-28,473.3440506763333
2022-08-29,468.25902155057366
2022-08-30,472.04725888140354
2022-08-31,471.6888984350898
2022-09-01,472.379716232524
2022-09-02,472.94773392146044
2022-09-03,472.7637497433651
2022-09-04,473.0402450515467
2022-09-05,471.87441961132475
2022-09-06,475.1282450705032
2022-09-07,473.7702417941556
2022-09-08,474.3433509313777
2022-09-09,471.34533044239276
2022-09-10,470.080511115177
2022-09-11,469.1377966242659
2022-09-12,467.49459226101266
2022-09-13,470.0887396691726
2022-09-14,469.1750292960346
2022-09-15,474.6385061803955
2022-09-16,477.79569031720655
2022-09-17,474.84006629646905
2022-09-18,479.12288534996264
2022-09-19,479.9172547772936
2022-09-20,478.9508766128778
2022-09-21,480.5628036018018
2022-09-22,476.45871109068173
2022-09-23,473.0685195538583
2022-09-24,471.86772858225777
2022-09-25,473.52333094201805
2022-09-26,470.741293818135
2022-09-27,471.5378391571216
2022-09-28,469.68680697317103
2022-09-29,468.36254785136083
2022-09-30,469.53804106233173
2022-10-01,470.02701120789067
2022-10-02,471.47627943732357
2022-10-03,468.11202941149475
2022-10-04,463.94931130072695
2022-10-05,464.6665800064726
2022-10-06,465.44363440856637
2022-10-07,465.334541878776
2022-10-08,465.10413285152543
2022-10-09,464.4115725514162
2022-10-10,467.5508053462751
2022-10-11,469.1529037868152
2022-10-12,469.6985827497431
2022-10-13,471.5886943107869
2022-10-14,471.4965669677582
2022-10-15,472.9437555567001
2022-10-16,470.4298348436417
2022-10-17,467.2349391782946
2022-10-18,468.2523660503745
2022-10-19,472.20829343407974
2022-10-20,473.66153473697483
2022-10-21,471.9116726152069
2022-10-22,471.3938453106869
2022-10-23,467.0627909854091
2022-10-24,470.60176535767897
2022-10-25,463.80231981122563
2022-10-26,461.79210508970505
2022-10-27,460.18780649051973
2022-10-28,456.702767854032
2022-10-29,457.5811493430957
2022-10-30,457.5283689834375
2022-10-31,458.190277192562
2022-11-01,457.66389582581934
2022-11-02,460.83025146907704
2022-11-03,462.2849117807432
2022-11-04,480.72287592361243
2022-11-05,483.90397673946063
2022-11-06,474.90359642127936
2022-11-07,474.52326225023467
2022-11-08,452.1167433457092
2022-11-09,446.9212597221189
2022-11-10,447.38381688133666
2022-11-11,447.77918270992285
2022-11-12,448.50247720880054
2022-11-13,449.2737920904445
2022-11-14,448.50294209777417
2022-11-15,447.8220570376325
2022-11-16,448.74029029717076
2022-11-17,451.4610872919125
2022-11-18,451.49567376176947
2022-11-19,452.1717424939856
2022-11-20,453.97599087363795
2022-11-21,455.86542041264386
2022-11-22,455.87864543840266
2022-11-23,456.52331248172015
2022-11-24,456.0534446829447
2022-11-25,453.2419834502472
2022-11-26,453.92245495031926
2022-11-27,453.6586304109798
2022-11-28,454.1097927395344
2022-11-29,452.83873306093335
2022-11-30,452.0920699023878
2022-12-01,452.12298196723845
2022-12-02,451.19454957586134
2022-12-03,451.8186683140018
2022-12-04,451.210827752121
2022-12-05,452.91130868293993
2022-12-06,452.92002403373465
2022-12-07,453.64120823906603
2022-12-08,452.81664947423224
2022-12-09,452.586712617176
2022-12-10,452.239428007046
2022-12-11,454.8507593121661
2022-12-12,454.4232435372522
2022-12-13,452.1595739380866
2022-12-14,451.9266327327647
2022-12-15,450.5663369164358
2022-12-16,459.10085626003416
2022-12-17,456.10982582307304
2022-12-18,455.8069617881151
2022-12-19,461.313271951021
2022-12-20,456.2388830112892
2022-12-21,458.03586573732315
2022-12-22,456.362004453138
2022-12-23,456.9814542810919
2022-12-24,456.96982199894387
2022-12-25,457.1271981262267
2022-12-26,456.13143440858437
2022-12-27,457.9161233394983
2022-12-28,462.07901320170225
2022-12-29,461.5215044344563
2022-12-30,461.72622792310636
2022-12-31,460.21786028608955
2023-01-01,459.60957957282693
2023-01-02,457.1208840414422
2023-01-03,456.0265720856993
2023-01-04,452.8313416813816
2023-01-05,454.1803712361075
2023-01-06,453.17610536512586
2023-01-07,453.4178846200571
2023-01-08,450.8499426382877
2023-01-09,449.3010373118721
2023-01-10,448.76665617639964
2023-01-11,448.6363086257217
2023-01-12,454.64625353867234
