date,change_id,change_description,capital_inicial,capital_final,net_pnl_usd,net_pnl_pct,trades,win_rate,profit_factor,A_trades,A_wr,A_pnl,B_trades,B_wr,B_pnl,C_trades,C_wr,C_pnl,TENDENCIA_trades,TENDENCIA_wr,TENDENCIA_pnl,BAJA_VOLATILIDAD_trades,BAJA_VOLATILIDAD_wr,BAJA_VOLATILIDAD_pnl,RANGO_trades,RANGO_wr,RANGO_pnl,TENDENCIA_EMERGENTE_trades,TENDENCIA_EMERGENTE_wr,TENDENCIA_EMERGENTE_pnl
2026-06-09,tp2r_be1r_fixedwindow,"Baseline (fixed window 2026-06-09T00:00Z, 3000 candles): Puerta A TP=2R, breakeven arm +1R",4965.2,3314.72,-1650.48,-33.24,337,37.69,0.78,139,20.9,-1242.79,174,53.4,-200.49,24,20.8,-207.2,158,24.7,-1584.86,67,52.2,-77.77,83,48.2,-20.75,29,44.8,32.9
2026-06-09,tp3r_be1r_fixedwindow,"Revert Puerta A TP back to 3R (from 2R), keep breakeven arm at +1R. A/B test vs tp2r_be1r_fixedwindow on the same frozen window.",4965.2,3609.45,-1355.75,-27.3,314,35.67,0.817,127,13.4,-1267.98,163,55.2,129.28,24,20.8,-217.05,146,20.5,-1479.28,65,55.4,146.1,76,47.4,-28.1,27,37.0,5.53
2026-06-09,puertaA_2candle_confirm_fixedwindow,Puerta A: require breakout+MA align+MACD direction confirmed on 2 consecutive candles for plain TENDENCIA (mirrors TENDENCIA_EMERGENTE 2-candle gate),4965.2,4953.13,-12.06,-0.24,369,48.24,0.999,71,22.5,-466.63,265,57.4,663.05,33,30.3,-208.49,150,43.3,-422.0,84,57.1,176.7,95,48.4,64.18,40,47.5,169.06
2026-06-09,puertaA_atr_sl_fixedwindow,Puerta A: replace flat 3% SL cap with ATR*1.5 distance (max/min vs Donchian unchanged),4965.2,4185.6,-779.6,-15.7,394,47.97,0.918,70,18.6,-1280.54,291,57.0,693.03,33,30.3,-192.08,157,44.6,-576.36,93,54.8,73.09,102,48.0,-17.1,42,45.2,-259.23
2026-06-09,puertaC_baja_vol_only_fixedwindow,"Puerta C gated to BAJA_VOLATILIDAD only (removed RANGO, where WR was 15.8% vs 50.0% in BAJA_VOL)",4965.2,4791.63,-173.57,-3.5,368,48.91,0.982,78,20.5,-864.21,275,56.7,620.31,15,53.3,70.33,156,41.7,-789.13,85,58.8,327.4,84,53.6,106.74,43,46.5,181.42
2026-06-09,puertaA_adx_rising_fixedwindow,"Puerta A TENDENCIA: require ADX[-1] > ADX[-2] (rising) in confirmacion_long/short, mirroring TENDENCIA_EMERGENTE's ADX-rising requirement",4965.2,4953.13,-12.06,-0.24,369,48.24,0.999,71,22.5,-466.63,265,57.4,663.05,33,30.3,-208.49,150,43.3,-422.0,84,57.1,176.7,95,48.4,64.18,40,47.5,169.06
2026-06-09,puertaA_rsi_exhaustion_fixedwindow,Puerta A TENDENCIA: block LONG entries with RSI>80 and SHORT entries with RSI<20 (extreme momentum exhaustion at breakout),4965.2,5302.15,336.95,6.79,373,49.87,1.036,58,25.9,-54.72,282,56.7,557.69,33,33.3,-166.02,148,45.9,-218.88,88,59.1,394.87,97,48.5,-24.93,40,47.5,185.89
2026-06-09,puertaB_rsi_filter_fixedwindow,Puerta B candle-impulse: block LONG entries with RSI>70 and SHORT entries with RSI<30 (overbought/oversold climax candle filter),4965.2,5630.34,665.14,13.4,324,47.84,1.075,70,25.7,-302.24,214,59.3,1382.2,40,25.0,-414.82,106,43.4,-163.4,84,57.1,371.01,106,50.0,593.59,28,28.6,-136.06
2026-06-10,puertaC_baja_vol_only_v2_fixedwindow,"Re-test (2026-06-10): Puerta C gated to BAJA_VOLATILIDAD only (regimen == 'BAJA_VOLATILIDAD'), now with A's RSI-exhaustion filter and B's RSI overbought/oversold filter already in place. 1st attempt rejected due to negative cascade on A (-$397.58 via 7 marginal TENDENCIA entries); A now has an RSI-exhaustion filter that blocks that entry type.",4965.2,5576.65,611.46,12.31,314,49.36,1.067,74,25.7,-445.59,221,58.4,1211.49,19,36.8,-154.44,105,42.9,-374.01,88,56.8,423.06,90,56.7,659.01,31,29.0,-96.61
2026-06-10,puertaA_body_atr_filter_fixedwindow,"Puerta A TENDENCIA: require entry-candle Body >= ATR (decisive impulse candle, body_atr ratio >= 1.0) in confirmacion_long/short, alongside existing 2-candle confirm + RSI-exhaustion filter",4965.2,6855.59,1890.39,38.07,330,52.42,1.21,41,34.1,443.6,243,60.5,1892.98,46,26.1,-446.18,87,55.2,518.96,98,58.2,701.62,117,51.3,774.12,28,28.6,-104.31
2026-06-10,puertaC_baja_vol_only_v3_fixedwindow,"Puerta C BAJA_VOLATILIDAD-only gate, 3rd attempt: if regimen in ('RANGO','BAJA_VOLATILIDAD') -> if regimen == 'BAJA_VOLATILIDAD', re-tested now that Puerta A body/ATR filter made A profitable and more selective",4965.2,6859.67,1894.48,38.16,313,54.63,1.206,42,33.3,286.71,248,59.7,1723.8,23,39.1,-116.04,83,55.4,316.03,99,58.6,816.75,100,59.0,1010.03,31,25.8,-248.33
2026-06-10,puertaTE_vol_confirm_fixedwindow,"TENDENCIA_EMERGENTE volume confirmation: require entry-candle volume >= 1.5x Volume_MA for Puerta A TE entries (dir_now==dir_prev gate, ~line 441), addressing TE's worst-ever -$248.33/31-trade result",4965.2,7025.13,2059.93,41.49,312,55.13,1.221,37,37.8,620.0,251,59.0,1531.1,24,41.7,-91.17,82,54.9,284.34,101,58.4,778.73,103,58.3,918.23,26,30.8,78.63
2026-06-10,puertaC_adx_floor_fixedwindow,"Puerta C: require entry-candle ADX>=20 (mean-reversion fade needs some underlying trend structure, not a 'completely dead' market) for both LONG_C and SHORT_C in detect_mean_reversion_signal()",4965.2,6664.63,1699.43,34.23,306,54.9,1.181,36,36.1,510.08,257,57.6,1115.2,13,53.8,74.14,83,53.0,69.91,91,61.5,853.03,106,56.6,703.65,26,30.8,72.84
