k,t0,t1,net_pnl,net_pct,trades,wr,pf,buy_hold_pct,por_puerta,bate_bh
0,2024-06-17,2024-07-17,-120.31,-2.41,75,49.33,0.939,6.73,"{'A': {'trades': 7, 'wins': 4, 'pnl': np.float64(368.56), 'wr': 57.1}, 'B': {'trades': 67, 'wins': 33, 'pnl': np.float64(-465.57), 'wr': 49.3}, 'C': {'trades': 1, 'wins': 0, 'pnl': np.float64(-23.3), 'wr': 0.0}}",False
1,2024-07-17,2024-08-16,-36.36,-0.73,90,57.78,0.981,-17.96,"{'B': {'trades': 77, 'wins': 48, 'pnl': np.float64(111.05), 'wr': 62.3}, 'A': {'trades': 9, 'wins': 3, 'pnl': np.float64(-120.92), 'wr': 33.3}, 'C': {'trades': 4, 'wins': 1, 'pnl': np.float64(-26.49), 'wr': 25.0}}",True
2,2024-08-16,2024-09-15,-1114.91,-22.3,91,45.05,0.517,1.26,"{'B': {'trades': 83, 'wins': 39, 'pnl': np.float64(-1029.59), 'wr': 47.0}, 'C': {'trades': 2, 'wins': 1, 'pnl': np.float64(2.44), 'wr': 50.0}, 'A': {'trades': 6, 'wins': 1, 'pnl': np.float64(-87.75), 'wr': 16.7}}",False
3,2024-09-15,2024-10-15,-673.19,-13.46,90,47.78,0.697,4.43,"{'B': {'trades': 78, 'wins': 41, 'pnl': np.float64(-513.2), 'wr': 52.6}, 'C': {'trades': 3, 'wins': 1, 'pnl': np.float64(-43.47), 'wr': 33.3}, 'A': {'trades': 9, 'wins': 1, 'pnl': np.float64(-116.51), 'wr': 11.1}}",False
4,2024-10-15,2024-11-14,-859.73,-17.19,81,41.98,0.587,30.73,"{'B': {'trades': 65, 'wins': 27, 'pnl': np.float64(-859.61), 'wr': 41.5}, 'A': {'trades': 15, 'wins': 6, 'pnl': np.float64(-14.96), 'wr': 40.0}, 'C': {'trades': 1, 'wins': 1, 'pnl': np.float64(14.85), 'wr': 100.0}}",False
5,2024-11-14,2024-12-14,-547.79,-10.96,94,41.49,0.8,82.47,"{'B': {'trades': 83, 'wins': 36, 'pnl': np.float64(-392.34), 'wr': 43.4}, 'A': {'trades': 9, 'wins': 3, 'pnl': np.float64(-113.6), 'wr': 33.3}, 'C': {'trades': 2, 'wins': 0, 'pnl': np.float64(-41.84), 'wr': 0.0}}",False
6,2024-12-14,2025-01-13,-397.17,-7.94,87,47.13,0.822,-16.81,"{'B': {'trades': 73, 'wins': 34, 'pnl': np.float64(-490.38), 'wr': 46.6}, 'C': {'trades': 4, 'wins': 2, 'pnl': np.float64(-29.97), 'wr': 50.0}, 'A': {'trades': 10, 'wins': 5, 'pnl': np.float64(123.18), 'wr': 50.0}}",True
7,2025-01-13,2025-02-12,501.52,10.03,103,53.4,1.194,-5.05,"{'A': {'trades': 12, 'wins': 6, 'pnl': np.float64(181.33), 'wr': 50.0}, 'B': {'trades': 88, 'wins': 48, 'pnl': np.float64(339.13), 'wr': 54.5}, 'C': {'trades': 3, 'wins': 1, 'pnl': np.float64(-18.95), 'wr': 33.3}}",True
8,2025-02-12,2025-03-14,-289.89,-5.8,79,43.04,0.862,-18.95,"{'B': {'trades': 66, 'wins': 30, 'pnl': np.float64(-379.01), 'wr': 45.5}, 'A': {'trades': 11, 'wins': 4, 'pnl': np.float64(112.4), 'wr': 36.4}, 'C': {'trades': 2, 'wins': 0, 'pnl': np.float64(-23.28), 'wr': 0.0}}",True
9,2025-03-14,2025-04-13,-1129.74,-22.59,77,36.36,0.482,-5.29,"{'A': {'trades': 10, 'wins': 3, 'pnl': np.float64(111.54), 'wr': 30.0}, 'B': {'trades': 66, 'wins': 25, 'pnl': np.float64(-1219.43), 'wr': 37.9}, 'C': {'trades': 1, 'wins': 0, 'pnl': np.float64(-21.85), 'wr': 0.0}}",False
