k,t0,t1,net_pnl,net_pct,trades,wr,pf,buy_hold_pct,por_puerta,bate_bh
0,2024-06-17,2024-07-17,499.82,10.0,42,35.71,1.702,6.73,"{'B': {'trades': 40, 'wins': 13, 'pnl': np.float64(363.8), 'wr': 32.5}, 'A': {'trades': 2, 'wins': 2, 'pnl': np.float64(136.02), 'wr': 100.0}}",True
1,2024-07-17,2024-08-16,300.25,6.0,40,32.5,1.377,-17.96,"{'B': {'trades': 37, 'wins': 12, 'pnl': np.float64(344.48), 'wr': 32.4}, 'A': {'trades': 3, 'wins': 1, 'pnl': np.float64(-44.23), 'wr': 33.3}}",True
2,2024-08-16,2024-09-15,617.52,12.35,49,46.94,1.708,1.26,"{'B': {'trades': 44, 'wins': 20, 'pnl': np.float64(539.58), 'wr': 45.5}, 'A': {'trades': 5, 'wins': 3, 'pnl': np.float64(77.94), 'wr': 60.0}}",True
3,2024-09-15,2024-10-15,-691.83,-13.84,51,27.45,0.388,4.43,"{'B': {'trades': 46, 'wins': 13, 'pnl': np.float64(-646.09), 'wr': 28.3}, 'A': {'trades': 5, 'wins': 1, 'pnl': np.float64(-45.74), 'wr': 20.0}}",False
4,2024-10-15,2024-11-14,-583.9,-11.68,47,23.4,0.539,30.73,"{'B': {'trades': 38, 'wins': 10, 'pnl': np.float64(-264.82), 'wr': 26.3}, 'A': {'trades': 9, 'wins': 1, 'pnl': np.float64(-319.08), 'wr': 11.1}}",False
5,2024-11-14,2024-12-14,32.19,0.64,56,26.79,1.027,82.47,"{'B': {'trades': 53, 'wins': 14, 'pnl': np.float64(-3.7), 'wr': 26.4}, 'A': {'trades': 3, 'wins': 1, 'pnl': np.float64(35.89), 'wr': 33.3}}",False
6,2024-12-14,2025-01-13,-550.6,-11.01,49,26.53,0.512,-16.81,"{'B': {'trades': 44, 'wins': 10, 'pnl': np.float64(-593.7), 'wr': 22.7}, 'A': {'trades': 5, 'wins': 3, 'pnl': np.float64(43.1), 'wr': 60.0}}",True
7,2025-01-13,2025-02-12,182.51,3.65,57,26.32,1.117,-5.05,"{'A': {'trades': 7, 'wins': 3, 'pnl': np.float64(72.11), 'wr': 42.9}, 'B': {'trades': 50, 'wins': 12, 'pnl': np.float64(110.4), 'wr': 24.0}}",True
8,2025-02-12,2025-03-14,318.59,6.37,51,39.22,1.333,-18.95,"{'A': {'trades': 8, 'wins': 6, 'pnl': np.float64(390.74), 'wr': 75.0}, 'B': {'trades': 43, 'wins': 14, 'pnl': np.float64(-72.15), 'wr': 32.6}}",True
9,2025-03-14,2025-04-13,-289.07,-5.78,46,15.22,0.717,-5.29,"{'B': {'trades': 42, 'wins': 6, 'pnl': np.float64(-368.72), 'wr': 14.3}, 'A': {'trades': 4, 'wins': 1, 'pnl': np.float64(79.65), 'wr': 25.0}}",False
10,2025-04-13,2025-05-13,-794.38,-15.89,51,19.61,0.359,24.53,"{'B': {'trades': 47, 'wins': 8, 'pnl': np.float64(-885.45), 'wr': 17.0}, 'A': {'trades': 4, 'wins': 2, 'pnl': np.float64(91.07), 'wr': 50.0}}",False
11,2025-05-13,2025-06-12,-1106.46,-22.13,56,19.64,0.253,-5.74,"{'B': {'trades': 45, 'wins': 9, 'pnl': np.float64(-751.59), 'wr': 20.0}, 'A': {'trades': 11, 'wins': 2, 'pnl': np.float64(-354.87), 'wr': 18.2}}",False
12,2025-06-12,2025-07-12,542.97,10.86,43,41.86,1.554,7.97,"{'B': {'trades': 37, 'wins': 16, 'pnl': np.float64(587.06), 'wr': 43.2}, 'A': {'trades': 6, 'wins': 2, 'pnl': np.float64(-44.08), 'wr': 33.3}}",True
13,2025-07-12,2025-08-11,-239.21,-4.78,43,27.91,0.802,24.37,"{'B': {'trades': 40, 'wins': 10, 'pnl': np.float64(-341.12), 'wr': 25.0}, 'A': {'trades': 3, 'wins': 2, 'pnl': np.float64(101.91), 'wr': 66.7}}",False
14,2025-08-11,2025-09-10,-293.01,-5.86,46,28.26,0.688,6.2,"{'B': {'trades': 43, 'wins': 12, 'pnl': np.float64(-257.57), 'wr': 27.9}, 'A': {'trades': 3, 'wins': 1, 'pnl': np.float64(-35.44), 'wr': 33.3}}",False
15,2025-09-10,2025-10-10,131.46,2.63,57,29.82,1.101,4.78,"{'B': {'trades': 52, 'wins': 15, 'pnl': np.float64(117.07), 'wr': 28.8}, 'A': {'trades': 5, 'wins': 2, 'pnl': np.float64(14.39), 'wr': 40.0}}",False
16,2025-10-10,2025-11-09,861.64,17.23,39,38.46,1.774,-25.17,"{'B': {'trades': 32, 'wins': 14, 'pnl': np.float64(598.16), 'wr': 43.8}, 'A': {'trades': 7, 'wins': 1, 'pnl': np.float64(263.48), 'wr': 14.3}}",True
17,2025-11-09,2025-12-09,262.58,5.25,43,37.21,1.296,-12.49,"{'B': {'trades': 41, 'wins': 14, 'pnl': np.float64(190.59), 'wr': 34.1}, 'A': {'trades': 2, 'wins': 2, 'pnl': np.float64(71.99), 'wr': 100.0}}",True
18,2025-12-09,2026-01-08,-968.03,-19.36,41,9.76,0.104,-1.07,"{'B': {'trades': 32, 'wins': 4, 'pnl': np.float64(-647.98), 'wr': 12.5}, 'A': {'trades': 9, 'wins': 0, 'pnl': np.float64(-320.05), 'wr': 0.0}}",False
19,2026-01-08,2026-02-07,858.76,17.18,49,34.69,1.83,-32.66,"{'B': {'trades': 48, 'wins': 17, 'pnl': np.float64(871.43), 'wr': 35.4}, 'A': {'trades': 1, 'wins': 0, 'pnl': np.float64(-12.68), 'wr': 0.0}}",True
20,2026-02-07,2026-03-09,-583.52,-11.67,40,27.5,0.415,-1.98,"{'B': {'trades': 36, 'wins': 11, 'pnl': np.float64(-469.95), 'wr': 30.6}, 'A': {'trades': 4, 'wins': 0, 'pnl': np.float64(-113.57), 'wr': 0.0}}",False
21,2026-03-09,2026-04-08,48.71,0.97,34,32.35,1.07,3.43,"{'B': {'trades': 32, 'wins': 11, 'pnl': np.float64(144.78), 'wr': 34.4}, 'A': {'trades': 2, 'wins': 0, 'pnl': np.float64(-96.07), 'wr': 0.0}}",False
